community,population,%_of_population,personnel_costs_as_%_of_pop,recommended_personnel_costs_individual,no_of_personnel,storage_cost,personnel_cost,"total_kg_of_food_allocated_as_a_percentage_of_population_for_60,000_kg_of_food",freightfare_per_kg_from_winnipeg_to_nunavut communities,freightfare_per_region_based_off_kg_of_food_allocated
Arctic Bay,868,2.4,1200,1000,3,500,3000,"1,440",11.12,"16,012.80"
Arviat,2657,7.37,3685,1000,8,500,8000,4422,6,26532
Baker Lake,2069,5.74,2870,1000,6,500,6000,3444,8.11,27930.84
Cape Dorset,1441,4,2000,1000,4,500,4000,2400,9,21600
Cambridge Bay,1766,4.9,2450,1000,4,500,4000,2940,10.1,29694
Chesterfield Inlet,437,1.21,605,1000,2,500,2000,726,6.79,4929.54
Clyde River,1053,2.92,1460,1000,3,500,3000,1752,11.21,19639.92
Coral Harbor,891,2.47,1235,1000,3,500,3000,1482,9,13338
Gjoa Haven,1324,3.67,1835,1000,4,500,4000,2202,11.1,24442.2
Grise Fiord,129,0.35,175,1000,2,500,2000,210,13,2730
Hall Beach,848,2.35,1175,1000,2,500,2000,1410,8.12,11449.2
Igloolik,1682,4.67,2335,1000,5,500,5000,2802,9.02,25274.04
Iqaluit,7740,21.5,"10,500",1000,15,500,15000,12900,11.1,143190
Kimmirut,389,1.08,540,1000,2,500,2000,648,12.3,7970.4
Kuggaruk,933,2.59,1295,1000,3,500,3000,1554,8.3,12898.2
Kugluktuk,1491,4.14,2070,1000,4,500,4000,2484,11.1,27572.4
Naujaat,1082,3,1500,1000,3,500,3000,1800,10.1,18180
Pangnirtung,1481,4.11,2055,1000,4,500,4000,2466,11.1,27372.6
Pond Inlet,1617,4.5,2250,1000,4,500,4000,2700,11.12,30024
Qikiqtarjuag,598,1.66,830,1000,2,500,2000,996,11.1,11055.6
Rankin Inlet,2842,7.89,3945,1000,8,500,8000,4734,5.19,24569.46
Resolute,198,0.54,270,1000,2,500,2000,324,11.12,3602.88
Sanikiluaq,882,2.44,1220,1000,3,500,3000,1464,10.17,14888.88
Taloyoak,1029,2.857,1428,1000,3,500,3000,1714,9.1,15597.4
Whale Cove,435,1.2,600,1000,2,500,2000,720,7.34,5284.8
Total,39486,,49528,,101,12500,101000,"59,734",,"565,779.16"
,36011,,,,,,,,,
average,1435.28,,,,,,,,,
,2980,,,,,,,,,
,4309,,,,,,,,,
